年份,上架时间,商品ID,商品名称（查找引用）,货号（查找引用）,产品等级,链接,直播价,运营,组别,类目名称(索引),一级类目,二级类目,叶子类目,主图,品类-公司维度划分,团购优惠金额,继承S级标注,6-8月是否同意破价,是否正常开推广,父记录,多类目上架判断,检测报告
2022,2023/02/22,704311255565,动物园派对升级版,KQ22223,清仓,https://detail.tmall.com/item.htm?abbucket=7&id=704311255565&rn=624bb748bef19b32fad4830864d92170&spm=a1z10.3-b-s.w4011-14899565465.80.4642367c3uliNd&sku_properties=20017:12265477803,19.9,桃酥,运营三组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,婴童防晒帽,,,同意,,,,
2023,2023/04/08,711430652022,逸享户外防晒外套,KQ23018,清仓,https://detail.tmall.com/item.htm?id=711430652022,55.9,虾滑,运营二组,童装/婴儿装/亲子装>儿童户外服>儿童皮肤衣/防晒衣,童装/婴儿装/亲子装,儿童户外服,儿童皮肤衣/防晒衣,image.png,防晒衣,,,同意,,,,
2022,2022/04/02,671904738338,呼吸防晒纯色冰袖,KQ24068,清仓,https://detail.tmall.com/item.htm?id=671904738338&spm=a21dvs.23580594.0.0.621e645eMkzztd,12.9/24.9,热狗,运营一组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>袖套/儿童冰袖,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,袖套/儿童冰袖,image.png,冰袖,,,不同意,,,,
2023,2023/09/04,737125168286,抽象艺术画画罩衣,KQ23179,A级,https://detail.tmall.com/item.htm?id=737125168286&spm=a21ag.23983127.0.76.6a2750a5duaL5y,"29.9
两件装：54.8",洋葱,运营一组,童装/婴儿装/亲子装>反穿衣/罩衣>反穿衣/罩衣,童装/婴儿装/亲子装,反穿衣/罩衣,反穿衣/罩衣,image.png,罩衣/其他,,,不同意,,,,
2022,2022/09/16,684274398510,绅士公主儿童罩衣,KQ22198,清仓,https://detail.tmall.com/item.htm?id=684274398510&spm=a21dvs.23580594.0.0.484c4b51Y6Qgkv,35.9,桃酥,运营三组,童装/婴儿装/亲子装>反穿衣/罩衣>反穿衣/罩衣,童装/婴儿装/亲子装,反穿衣/罩衣,反穿衣/罩衣,image.png,罩衣/其他,,,同意,,,,
2023,2023/02/28,705186058821,夏宠冰果乐防晒冰袖,KQ23008,B级,https://detail.tmall.com/item.htm?id=705186058821&spm=a21dvs.23580594.0.0.484c4b51Y6Qgkv,29.9,栗子,运营二组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>袖套/儿童冰袖,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,袖套/儿童冰袖,image.png,冰袖,,,不同意,,,,
2025,2025/02/10,885663070561,动物乐园空顶帽,KQ25002,清仓,https://detail.tmall.com/item.htm?id=885663070561&spm=a21dvs.23580594.0.0.5ceb4b519lrUDr&sku_properties=20017%3A36583056522,35.9,虾滑,运营二组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,婴童防晒帽,,,同意,,,,
2025,2025/03/03,894779081318,小芭蕉防晒冰袖,KQ25035,B级,https://detail.tmall.com/item.htm?abbucket=5&id=894779081318&pisk=gGxxvNTeBbc0voSnmmguj1tl59MkXhp42IJQj1f05QdJGQ-ci1bgXlCJdZD2sCYR6QORGoDquN19g_AgjKx9zlpeQnDVjxS23GSstXmH6KJVb8V0ZOxYPu6wFtNff4jWHV31wXmnxL3f3GvStnAzIiBCKls1ls97P_WO1r_X1aZ5Q_ZfCos1NYBNNGZf5lN7PtXFh11618i5L9PbhGZ1V_6GhG161GMJFbUE6_wfslLCEpsx-l7QfltRHagkh_TyrAXfkivAwXGy2D7AOK18fXUmYqfOaHGoyLRplIXy6DhRAeRJXwstDWWvPpI5iMgLyipkgHIXvjEcEgfcRF_-hm9RDsQ6qwwguiL6ghQ2kRkeFiOy867jzbWJmHbOTaFSGLvRGwL9ibr1iepWwwxuZkjB8QKORMsrLHxKArVh9O4jeYUa7Z6yg8LOYM54wvWRtxnT7P7rUTCneYUa7Z6Pe6DxBPzNzY5..&rn=f33d59ca25cc7714fbfbaa710bb3a4ab&spm=a1z10.3-b-s.w4011-2629836412.127.3a13367cJqpub7,29.9,洋葱,运营一组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>袖套/儿童冰袖,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,袖套/儿童冰袖,image.png,冰袖,,,不同意,,,,
2025,2025/02/17,888859746580,圈圈派对防晒帽,KQ25006,清仓,https://detail.tmall.com/item.htm?id=888859746580&sku_properties=20017%3A36718590450&spm=a211lz.success.0.0.721c2b903Iwmd5,39.9,虾滑,运营二组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,其他防晒帽,,,同意,,,,
2025,2025/02/28,893677593864,小凉风骑行防晒帽,KQ25007,清仓,https://detail.tmall.com/item.htm?id=893677593864&spm=a21dvs.23580594.0.0.297e4b51I2xE4v&sku_properties=20017%3A31006832372,25.9,栗子,运营二组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,其他防晒帽,,,同意,,,,
