类目,类目（总路径）,一级类目,二级类目,叶子类目
玩具/童车/益智/早教/游乐设备,玩具/童车/益智/早教/游乐设备>户外运动/休闲/传统玩具>飞盘/飞碟/竹蜻蜓类,玩具/童车/益智/早教/游乐设备,户外运动/休闲/传统玩具,飞盘/飞碟/竹蜻蜓类
玩具/童车/益智/早教/游乐设备,玩具/童车/益智/早教/游乐设备>儿童包/背包/箱包>书包,玩具/童车/益智/早教/游乐设备,儿童包/背包/箱包,书包
玩具/童车/益智/早教/游乐设备,玩具/童车/益智/早教/游乐设备>儿童包/背包/箱包>斜挎包/拎包/腰包,玩具/童车/益智/早教/游乐设备,儿童包/背包/箱包,斜挎包/拎包/腰包
玩具/童车/益智/早教/游乐设备,玩具/童车/益智/早教/游乐设备>宝宝纪念品/个性产品>名字贴,玩具/童车/益智/早教/游乐设备,宝宝纪念品/个性产品,名字贴
玩具/童车/益智/早教/游乐设备,玩具/童车/益智/早教/游乐设备>游泳池/戏水玩具>泳镜,玩具/童车/益智/早教/游乐设备,游泳池/戏水玩具,泳镜
玩具/童车/益智/早教/游乐设备,玩具/童车/益智/早教/游乐设备>儿童包/背包/箱包>拉杆包,玩具/童车/益智/早教/游乐设备,儿童包/背包/箱包,拉杆包
玩具/童车/益智/早教/游乐设备,玩具/童车/益智/早教/游乐设备>儿童玩具枪>水枪,玩具/童车/益智/早教/游乐设备,儿童玩具枪,水枪
玩具/童车/益智/早教/游乐设备,玩具/童车/益智/早教/游乐设备>早教/智能玩具>贴纸,玩具/童车/益智/早教/游乐设备,早教/智能玩具,贴纸
居家日用,居家日用>伞/雨具/防雨/防潮>伞,居家日用,伞/雨具/防雨/防潮,伞
居家日用,居家日用>防护用品>口罩,居家日用,防护用品,口罩
居家日用,居家日用>鞋用品>鞋套,居家日用,鞋用品,鞋套
居家日用,居家日用>伞/雨具/防雨/防潮>雨披/雨衣,居家日用,伞/雨具/防雨/防潮,雨披/雨衣
居家日用,居家日用>伞/雨具/防雨/防潮>雨鞋/雨靴,居家日用,伞/雨具/防雨/防潮,雨鞋/雨靴
居家日用,居家日用>防护用品>护目镜,居家日用,防护用品,护目镜
运动/瑜伽/健身/球迷用品,运动/瑜伽/健身/球迷用品>游泳>儿童泳衣/裤,运动/瑜伽/健身/球迷用品,游泳,儿童泳衣/裤
运动/瑜伽/健身/球迷用品,运动/瑜伽/健身/球迷用品>游泳>分体泳衣,运动/瑜伽/健身/球迷用品,游泳,分体泳衣
运动/瑜伽/健身/球迷用品,运动/瑜伽/健身/球迷用品>游泳>泳镜,运动/瑜伽/健身/球迷用品,游泳,泳镜
运动/瑜伽/健身/球迷用品,运动/瑜伽/健身/球迷用品>游泳>泳帽,运动/瑜伽/健身/球迷用品,游泳,泳帽
运动/瑜伽/健身/球迷用品,运动/瑜伽/健身/球迷用品>游泳>游泳专用包,运动/瑜伽/健身/球迷用品,游泳,游泳专用包
运动/瑜伽/健身/球迷用品,运动/瑜伽/健身/球迷用品>游泳>浴巾/吸水巾,运动/瑜伽/健身/球迷用品,游泳,浴巾/吸水巾
运动/瑜伽/健身/球迷用品,运动/瑜伽/健身/球迷用品>踏步机/中小型健身器材>跳绳,运动/瑜伽/健身/球迷用品,踏步机/中小型健身器材,跳绳
童鞋/婴儿鞋/亲子鞋,童鞋/婴儿鞋/亲子鞋>运动鞋>运动鞋,童鞋/婴儿鞋/亲子鞋,运动鞋,运动鞋
童鞋/婴儿鞋/亲子鞋,童鞋/婴儿鞋/亲子鞋>凉鞋>凉鞋,童鞋/婴儿鞋/亲子鞋,凉鞋,凉鞋
童鞋/婴儿鞋/亲子鞋,童鞋/婴儿鞋/亲子鞋>儿童靴子>皮靴,童鞋/婴儿鞋/亲子鞋,儿童靴子,皮靴
童鞋/婴儿鞋/亲子鞋,童鞋/婴儿鞋/亲子鞋>拖鞋>儿童棉拖鞋,童鞋/婴儿鞋/亲子鞋,拖鞋,儿童棉拖鞋
童鞋/婴儿鞋/亲子鞋,童鞋/婴儿鞋/亲子鞋>儿童雨鞋>雨靴,童鞋/婴儿鞋/亲子鞋,儿童雨鞋,雨靴
童鞋/婴儿鞋/亲子鞋,童鞋/婴儿鞋/亲子鞋>鞋配件>量脚器,童鞋/婴儿鞋/亲子鞋,鞋配件,量脚器
童鞋/婴儿鞋/亲子鞋,童鞋/婴儿鞋/亲子鞋>儿童靴子>雪地靴,童鞋/婴儿鞋/亲子鞋,儿童靴子,雪地靴
童鞋/婴儿鞋/亲子鞋,童鞋/婴儿鞋/亲子鞋>儿童靴子>棉靴,童鞋/婴儿鞋/亲子鞋,儿童靴子,棉靴
童装/婴儿装/亲子装,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子
童装/婴儿装/亲子装,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>围巾,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,围巾
童装/婴儿装/亲子装,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>手套,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,手套
童装/婴儿装/亲子装,童装/婴儿装/亲子装>卫衣/绒衫>卫衣/绒衫,童装/婴儿装/亲子装,卫衣/绒衫,卫衣/绒衫
童装/婴儿装/亲子装,童装/婴儿装/亲子装>马甲>马甲,童装/婴儿装/亲子装,马甲,马甲
童装/婴儿装/亲子装,童装/婴儿装/亲子装>套装>套装,童装/婴儿装/亲子装,套装,套装
童装/婴儿装/亲子装,童装/婴儿装/亲子装>外套/夹克/大衣>普通外套,童装/婴儿装/亲子装,外套/夹克/大衣,普通外套
童装/婴儿装/亲子装,童装/婴儿装/亲子装>T恤>T恤,童装/婴儿装/亲子装,T恤,T恤
童装/婴儿装/亲子装,童装/婴儿装/亲子装>裤子>裤子,童装/婴儿装/亲子装,裤子,裤子
童装/婴儿装/亲子装,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>口罩,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,口罩
童装/婴儿装/亲子装,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>袖套/儿童冰袖,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,袖套/儿童冰袖
童装/婴儿装/亲子装,童装/婴儿装/亲子装>反穿衣/罩衣>反穿衣/罩衣,童装/婴儿装/亲子装,反穿衣/罩衣,反穿衣/罩衣
童装/婴儿装/亲子装,童装/婴儿装/亲子装>背心吊带>背心吊带,童装/婴儿装/亲子装,背心吊带,背心吊带
童装/婴儿装/亲子装,童装/婴儿装/亲子装>儿童家居服>家居服连体衣,童装/婴儿装/亲子装,儿童家居服,家居服连体衣
童装/婴儿装/亲子装,童装/婴儿装/亲子装>儿童泳装>泳帽,童装/婴儿装/亲子装,儿童泳装,泳帽
童装/婴儿装/亲子装,童装/婴儿装/亲子装>儿童配饰>太阳镜,童装/婴儿装/亲子装,儿童配饰,太阳镜
童装/婴儿装/亲子装,童装/婴儿装/亲子装>儿童内衣裤>内裤,童装/婴儿装/亲子装,儿童内衣裤,内裤
童装/婴儿装/亲子装,童装/婴儿装/亲子装>儿童家居服>家居服套装,童装/婴儿装/亲子装,儿童家居服,家居服套装
童装/婴儿装/亲子装,童装/婴儿装/亲子装>裙子(新)>连衣裙,童装/婴儿装/亲子装,裙子(新),连衣裙
童装/婴儿装/亲子装,童装/婴儿装/亲子装>儿童泳装>泳衣裤,童装/婴儿装/亲子装,儿童泳装,泳衣裤
童装/婴儿装/亲子装,童装/婴儿装/亲子装>裙子(新)>半身裙,童装/婴儿装/亲子装,裙子(新),半身裙
童装/婴儿装/亲子装,童装/婴儿装/亲子装>羽绒服饰/羽绒内胆>羽绒马甲,童装/婴儿装/亲子装,羽绒服饰/羽绒内胆,羽绒马甲
童装/婴儿装/亲子装,童装/婴儿装/亲子装>羽绒服饰/羽绒内胆>羽绒服,童装/婴儿装/亲子装,羽绒服饰/羽绒内胆,羽绒服
童装/婴儿装/亲子装,童装/婴儿装/亲子装>儿童户外服>儿童冲锋衣,童装/婴儿装/亲子装,儿童户外服,儿童冲锋衣
童装/婴儿装/亲子装,童装/婴儿装/亲子装>儿童户外服>儿童滑雪服,童装/婴儿装/亲子装,儿童户外服,儿童滑雪服
童装/婴儿装/亲子装,童装/婴儿装/亲子装>儿童户外服>儿童运动套装,童装/婴儿装/亲子装,儿童户外服,儿童运动套装
童装/婴儿装/亲子装,童装/婴儿装/亲子装>儿童户外服>儿童皮肤衣/防晒衣,童装/婴儿装/亲子装,儿童户外服,儿童皮肤衣/防晒衣
童装/婴儿装/亲子装,童装/婴儿装/亲子装>儿童户外服>儿童滑雪裤,童装/婴儿装/亲子装,儿童户外服,儿童滑雪裤
童装/婴儿装/亲子装,童装/婴儿装/亲子装>儿童户外服>儿童速干T恤,童装/婴儿装/亲子装,儿童户外服,儿童速干T恤
童装/婴儿装/亲子装,童装/婴儿装/亲子装>裤子（新）>运动裤卫裤,童装/婴儿装/亲子装,裤子（新）,运动裤卫裤
