商品名称,商品ID,货号,产品等级,当前叶子类目,可额外上架副叶子类目,一级类目,二级类目,处理状态,操作建议,备注
小探趣溯溪鞋,1037160921729,KQ26112,A级,沙滩鞋/凉鞋/拖鞋,运动沙滩鞋/凉鞋,户外/登山/野营/旅行用品,户外鞋靴,未完成待上架,建议额外上架至：运动沙滩鞋/凉鞋,已按用户要求剔除抓绒衣、小袋鼠轻云/青云双肩包
小呼吸溯溪鞋,1035678490481,KQ26113,A级,沙滩鞋/凉鞋/拖鞋,运动沙滩鞋/凉鞋,户外/登山/野营/旅行用品,户外鞋靴,未完成待上架,建议额外上架至：运动沙滩鞋/凉鞋,已按用户要求剔除抓绒衣、小袋鼠轻云/青云双肩包
小方壳双肩包,1056949280276,KQ26132,A级,书包,双肩背包,玩具/童车/益智/早教/游乐设备,儿童包/背包/箱包,未完成待上架,建议额外上架至：双肩背包,已按用户要求剔除抓绒衣、小袋鼠轻云/青云双肩包
小萌伴双肩包,1056378845668,KQ26136,A级,书包,双肩背包,玩具/童车/益智/早教/游乐设备,儿童包/背包/箱包,未完成待上架,建议额外上架至：双肩背包,已按用户要求剔除抓绒衣、小袋鼠轻云/青云双肩包
小学童翻盖书包,1053351857538,KQ26137,A级,书包,双肩背包,玩具/童车/益智/早教/游乐设备,儿童包/背包/箱包,未完成待上架,建议额外上架至：双肩背包,已按用户要求剔除抓绒衣、小袋鼠轻云/青云双肩包
潮汐岛大框软软泳镜,903793111496,KQ25062,S级,泳镜,泳镜,玩具/童车/益智/早教/游乐设备,游泳池/戏水玩具,未完成待上架,建议额外上架至：泳镜,已按用户要求剔除抓绒衣、小袋鼠轻云/青云双肩包
夏日冰宠小护盾泳衣,777839886491,KQ24032,A级,泳衣裤,儿童泳衣/裤,童装/婴儿装/亲子装,儿童泳装,未完成待上架,建议额外上架至：儿童泳衣/裤,已按用户要求剔除抓绒衣、小袋鼠轻云/青云双肩包
小艺术家分体/连体泳衣,1033943595376,KQ26083,A级,泳衣裤,儿童泳衣/裤,童装/婴儿装/亲子装,儿童泳装,未完成待上架,建议额外上架至：儿童泳衣/裤,已按用户要求剔除抓绒衣、小袋鼠轻云/青云双肩包
海滨夏日泳衣三件套,1036949127063,KQ26088,A级,泳衣裤,儿童泳衣/裤,童装/婴儿装/亲子装,儿童泳装,未完成待上架,建议额外上架至：儿童泳衣/裤,已按用户要求剔除抓绒衣、小袋鼠轻云/青云双肩包
小汽水速干T（大网眼）,891219717399,KQ25037,A级,T恤,儿童速干T恤,童装/婴儿装/亲子装,T恤,未完成待上架,建议额外上架至：儿童速干T恤,已按用户要求剔除抓绒衣、小袋鼠轻云/青云双肩包
