月份,要推的品类,备注
1月,"婴童防晒帽, 其他防晒帽, 太阳镜, 防晒衣, 速干衣裤, 泳衣, 溯溪鞋, 书包, 雨具, 秋冬帽, 滑雪, 蓝光眼镜",
2月,"婴童防晒帽, 其他防晒帽, 太阳镜, 防晒衣, 速干衣裤, 书包, 雨具, 蓝光眼镜",
3月,"婴童防晒帽, 其他防晒帽, 太阳镜, 防晒衣, 速干衣裤, 泳衣, 溯溪鞋, 冲锋衣, 罩衣",
4月,"婴童防晒帽, 其他防晒帽, 太阳镜, 防晒衣, 速干衣裤, 冰袖, 泳衣, 溯溪鞋, 泳镜, 泳具-其他, 户外用具",
5月,"婴童防晒帽, 其他防晒帽, 太阳镜, 防晒衣, 速干衣裤, 冰袖, 泳衣, 溯溪鞋, 泳镜, 泳具-其他, 书包, 户外用具",
6月,"其他防晒帽, 太阳镜, 防晒衣, 速干衣裤, 冰袖, 泳衣, 溯溪鞋, 泳镜, 泳具-其他, 书包, 雨具, 户外包",
7月,"其他防晒帽, 太阳镜, 防晒衣, 速干衣裤, 冰袖, 泳衣, 溯溪鞋, 泳镜, 泳具-其他, 书包, 雨具, 软壳衣裤",
8月,"其他防晒帽, 太阳镜, 泳衣, 溯溪鞋, 泳镜, 泳具-其他, 书包, 雨具, 冲锋衣, 软壳衣裤",
9月,"雨具, 冲锋衣, 软壳衣裤, 抓绒衣裤, 秋冬帽, 罩衣",防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
10月,"冲锋衣, 软壳衣裤, 抓绒衣裤, 秋冬帽, 滑雪, 罩衣",防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
11月,"冲锋衣, 软壳衣裤, 抓绒衣裤, 秋冬帽, 滑雪, 罩衣",防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
12月,"冲锋衣, 软壳衣裤, 抓绒衣裤, 秋冬帽, 滑雪, 罩衣",防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
,,
