月份·品类,月份,品类,要推等级,校验状态,备注
1月·书包,1月,书包,"S级, A级",✓ 两表一致,
1月·其他防晒帽,1月,其他防晒帽,"S级, A级, 新品",✓ 两表一致,
1月·太阳镜,1月,太阳镜,"S级, A级, 新品",✓ 两表一致,
1月·婴童防晒帽,1月,婴童防晒帽,"S级, A级, 新品",✓ 两表一致,
1月·户外包,1月,户外包,"S级, 新品",① 等级表有·清单原漏,
1月·户外用具,1月,户外用具,"S级, 新品",① 等级表有·清单原漏,
1月·泳具-其他,1月,泳具-其他,S级,① 等级表有·清单原漏,
1月·泳衣,1月,泳衣,"S级, A级",✓ 两表一致,
1月·泳镜,1月,泳镜,S级,① 等级表有·清单原漏,
1月·溯溪鞋,1月,溯溪鞋,S级,✓ 两表一致,
1月·滑雪,1月,滑雪,"S级, A级",✓ 两表一致,
1月·秋冬帽,1月,秋冬帽,S级,✓ 两表一致,
1月·罩衣,1月,罩衣,"S级, A级",① 等级表有·清单原漏,
1月·蓝光眼镜,1月,蓝光眼镜,"S级, 新品",✓ 两表一致,
1月·速干衣裤,1月,速干衣裤,"S级, A级, 新品",✓ 两表一致,
1月·防晒衣,1月,防晒衣,"S级, A级, 新品",✓ 两表一致,
1月·雨具,1月,雨具,"S级, A级",✓ 两表一致,
2月·书包,2月,书包,"S级, A级",✓ 两表一致,
2月·其他防晒帽,2月,其他防晒帽,"S级, A级, 新品",✓ 两表一致,
2月·冲锋衣,2月,冲锋衣,S级,① 等级表有·清单原漏,
2月·太阳镜,2月,太阳镜,"S级, A级, 新品",✓ 两表一致,
2月·婴童防晒帽,2月,婴童防晒帽,"S级, A级, 新品",✓ 两表一致,
2月·户外包,2月,户外包,"S级, 新品",① 等级表有·清单原漏,
2月·户外用具,2月,户外用具,"S级, 新品",① 等级表有·清单原漏,
2月·泳具-其他,2月,泳具-其他,S级,① 等级表有·清单原漏,
2月·泳衣,2月,泳衣,"S级, A级, 新品",① 等级表有·清单原漏,
2月·泳镜,2月,泳镜,"S级, A级",① 等级表有·清单原漏,
2月·溯溪鞋,2月,溯溪鞋,"S级, A级",① 等级表有·清单原漏,
2月·罩衣,2月,罩衣,"S级, A级",① 等级表有·清单原漏,
2月·蓝光眼镜,2月,蓝光眼镜,"S级, 新品",✓ 两表一致,
2月·速干衣裤,2月,速干衣裤,"S级, A级, 新品",✓ 两表一致,
2月·防晒衣,2月,防晒衣,"S级, A级, 新品",✓ 两表一致,
2月·雨具,2月,雨具,"S级, A级",✓ 两表一致,
3月·书包,3月,书包,"S级, A级",① 等级表有·清单原漏,
3月·其他防晒帽,3月,其他防晒帽,"S级, A级, 新品",✓ 两表一致,
3月·冲锋衣,3月,冲锋衣,S级,✓ 两表一致,
3月·太阳镜,3月,太阳镜,"S级, A级, 新品",✓ 两表一致,
