月份,婴童防晒帽,其他防晒帽,太阳镜,防晒衣,速干衣裤,冰袖,泳衣,溯溪鞋,泳镜,泳具-其他,书包,雨具,冲锋衣,软壳衣裤,抓绒衣裤,普通童装,秋冬帽,滑雪,童鞋,户外包,户外用具,蓝光眼镜,罩衣
1月,S级，A级，新品,S级，A级，新品,S级，A级，新品,S级，A级，新品,S级，A级，新品,,S级，A级,S级,S级,S级,S级，A级,S级，A级,,,,,S级,S级，A级,,S级，新品,S级，新品,S级，新品,S级，A级
2月,S级，A级，新品,S级，A级，新品,S级，A级，新品,S级，A级，新品,S级，A级，新品,,S级，A级，新品,S级，A级,S级，A级,S级,S级，A级,S级，A级,S级,,,,,,,S级，新品,S级，新品,S级，新品,S级，A级
3月,S级，A级，新品,S级，A级，新品,S级，A级，新品,S级，A级，新品,S级，A级，新品,,S级，A级，新品,S级，A级，新品,S级，A级，新品,S级，A级，新品,S级，A级,S级，A级,S级,,,,,,,,,,
4月,S级，A级,S级，A级，新品,S级，A级，新品,S级，A级，新品,S级，A级，新品,S级，A级，新品,S级，A级，新品,S级，A级，新品,S级，A级，新品,S级，A级，新品,S级，A级,S级，A级,,,,,,,,,,,
5月,S级，A级,S级，A级,S级，A级,S级，A级,S级，A级,S级，A级,S级，A级,S级，A级,S级，A级,S级，A级,S级，A级，新品,S级，A级，新品,,,,,,,,,,,
6月,S级，A级,S级，A级,S级，A级,S级，A级,S级，A级,S级，A级,S级，A级,S级，A级,S级，A级,S级，A级,S级，A级，新品,S级，A级，新品,,,,,,,,S级，新品,S级，新品,S级，新品,
7月,,S级，A级,S级，A级,,,,S级，A级,S级，A级,S级，A级,S级，A级,S级，A级，新品,S级，A级，新品,S级，A级，新品,S级，A级，新品,S级，A级，新品,,新品,,,S级，新品,S级，新品,S级，新品,S级，A级，新品
8月,,S级,S级,,,,,S级,S级,,S级，A级,S级，A级,S级，A级，新品,S级，A级，新品,S级，A级，新品,,新品,,,S级，新品,S级，新品,S级，新品,S级，A级，新品
9月,,S级,S级,,,,,S级,,,S级，A级,S级，A级,S级，A级,S级，A级,S级，A级,,S级，A级，新品,S级，A级,,,,,S级，A级，新品
10月,,S级,S级,,,,,,,,S级，A级,S级，A级,S级，A级,S级，A级,S级，A级,,S级，A级，新品,S级，A级，新品,,,,,S级，A级，新品
11月,,S级,S级,,,,,,,,S级，A级,S级，A级,S级，A级,S级，A级,S级，A级,,S级，A级,S级，A级,,,,,S级，A级
12月,S级，A级,S级，A级,S级，A级,,,,S级，A级,S级,S级,,S级，A级,S级，A级,,,,,S级，A级,S级，A级,,,,S级，新品,S级，A级
